Mes		Pais		Producto	Millones_US$
enero-14	USA			Vino	21.12
enero-14	China		Vino	13.32
enero-14	Japón		Vino	14.12
enero-14	Inglaterra	Vino	14.92
enero-14	Brasil		Vino	6.48
febrero-14	USA			Vino	17.03
febrero-14	China		Vino	7.89
febrero-14	Japón		Vino	8.76
febrero-14	Inglaterra	Vino	17.91
febrero-14	Brasil		Vino	6.44
marzo-14	USA			Vino	28.55
marzo-14	China		Vino	15.75
marzo-14	Japón		Vino	12.4
marzo-14	Inglaterra	Vino	25.27
marzo-14	Brasil		Vino	11.58
abril-14	USA			Vino	28.65
abril-14	China		Vino	11.73
abril-14	Japón		Vino	16.89
abril-14	Inglaterra	Vino	22.23
abril-14	Brasil		Vino	10.32
mayo-14		USA			Vino	29.79
mayo-14		China		Vino	11.9
mayo-14		Japón		Vino	13.85
mayo-14		Inglaterra	Vino	20.26
mayo-14		Brasil		Vino	10.62
